DOI,Sentence
10.1371_journal.pmed.1000419,BCa confidence intervals were calculated using the statistical software SAS 9 and the %BOOT and %BOOTCI macros (http://support.sas.com/kb/24/982.html).
10.1371_journal.pone.0200234,The collected data were analyzed using SPSS version 22.
10.1371_journal.pone.0149335,"Receipt of QAC data was acknowledged, entered into a password-protected Microsoft Access database, and cross-checked through Microsoft Excel."
10.1371_journal.pone.0022971,"Therefore, an individual can be traced from household to household over the course of his or her life (as long as he or she resides in the Matlab study area)."
10.1371_journal.pone.0171407,Analyses were carried out using Stata version 12.
10.1371_journal.pone.0127644,"Reliability analysis of the data and univariate analyses were performed using SPSS version 16.0 (SPSS Inc., Chicago, IL, USA) for Windows, and the SEM was produced using LISREL 8.5. χ2, RMSEA (root mean square error of approximation), SRMR (standardized root mean square residual), GFI (goodness-of-fit index), AGFI (adjusted goodness-of-fit index), and IFI (incremental fit index) were used to indicate whether the model was an adequate fit [34]."
10.1371_journal.pone.0058070,All graph algorithms used in this article were implemented in Matlab and are available as part of the Brain Connectivity Toolbox (www.brain-connectivity-toolbox.net) [17].
10.1371_journal.pone.0207173,Missing data were multiple imputed (10 estimations) using SPSS (Version 19.0).
10.1371_journal.pone.0143118,Analyses were performed in SPSS version 18.0 (Version 18.0.
10.1371_journal.pone.0211266,"Data analysis was conducted using SigmaPlot ver.12.3 (SYSTAT Software Inc., San Jose, CA, USA)."
10.1371_journal.pone.0056620,Data processing and statistical analyses were performed using SPSS V·19 in 2012.
10.1371_journal.pone.0198719,"Statistical analyses were performed using Stata software, version 13 (StataCorp, College Station, TX, US)."
10.1371_journal.pone.0062593,"All descriptive statistics, ANCOVA, and multiple regression analyses were conducted using SPSS 19.0 (IBM, Armonk, New York)."
10.1371_journal.pone.0194991,All statistical analyses were performed using STATA 13.0.
10.1371_journal.pone.0064921,All analyses were adjusted for sample weights and NHANES complex survey design using Stata (11.2).
10.1371_journal.pone.0060637,Data analyses were performed using SPSS software version 19.0.
10.1371_journal.pone.0181310,The completed questionnaires were coded and entered into EPI info version 3.5.3 statistical software and then exported to SPSS windows version 20 program for analysis.
10.1371_journal.pone.0206889,"Consistent with Résibois, Verduyn, and colleagues [11], each of the obtained 384 self-reported intensity profiles following negative feedback was first transformed into a function using the linear interpolation function (interp1) implemented in MATLAB R2016b [38] and then discretised into 44 equally distanced time points, corresponding to the number of images acquired during the period that participants read and thought about the feedback."
10.1371_journal.pone.0047203,"15.0 (SPSS Inc., Tokyo, Japan) was used for all data analysis."
10.1371_journal.pone.0202330,Statistical analyses of quantitative data were performed using Excel and custom shell scripts (Unix).
10.1371_journal.pone.0122478,Simultaneous relationships among variables were tested using path analysis with IBM SPSS AMOS 22 software.
10.1371_journal.pmed.1002357,"Demographic, clinical, and laboratory data from the electronic medical record and study forms were de-identified, entered into an Excel spreadsheet, and exported into Stata v14 software (StataCorp, 2011, College Station, Texas) for analysis."
10.1371_journal.pone.0184676,All statistical analyses were performed in STATA version 14 [46].
10.1371_journal.pone.0184750,"Significance was set at the p = 0.05 level, and analyses were conducted using IBM SPSS Statistics Version 24."
10.1371_journal.pone.0106172,"In order to reduce variability in her movement duration, she wore a headphone connected to a PC on which a MATLAB code generated a rhythmic “beep”."
10.1371_journal.pone.0052371,"For statistical analyses, the software package SPSS 18.0 (SPSS Inc., Chicago, IL, USA) was used."
10.1371_journal.pone.0123911,"We classified each sequence at the family level, and used blast [36] to identify those OTUs that had been previously found in bees (blastn, e-value <0.0001)."
10.1371_journal.pone.0086127,"As there was a group difference for BPVS and SAS scores (see Table 2), all analyses include these scores as covariates to partial out the variance attributed them."
10.1371_journal.pone.0060637,Tests of gender interactions with psychosocial work factors were performed using SAS software.
10.1371_journal.pone.0208129,We use Stata’s margins command to calculate proportions from saturated logit models and test the statistical significance of the differences between proportions using Wald tests of linear hypotheses.
10.1371_journal.pone.0133603,"LCGM was performed in STATA (version 12.1, College Station, TX) using the traj procedure [24]."
10.1371_journal.pone.0109241,"Distance matrices for the introductory syllable and the shared syllable measurements were built as the Euclidean distance between the group centroids of first discriminant functions using SPSS, in which variables were scaled to values between 0 and 1."
10.1371_journal.pone.0181236,Analyses were conducted in STATA/IC14 with individuals as the unit of analysis.
10.1371_journal.pone.0197479,"The analyses were performed using STATA v14 (StataCorp, College Station, TX)."
10.1371_journal.pone.0076266,"Data were analysed using SPSS Statistics 21 for Macintosh (SPSS, IBM Inc.)."
10.1371_journal.pgen.1002930,"Resulting High-scoring Segment Pairs (HSPs) were sorted by their blast bit-scores, and an average bit-score of the top 75% HSPs were calculated."
10.1371_journal.pone.0172904,"All quantified regions were analyzed by Multivariate Analysis of Variance (MANOVA) for main effects of genotype, competition dose, and genotype x dose interactions using IBM SPSS Statistics 22."
10.1371_journal.pone.0124690,The analyses were run using STATA MP 11.2.
10.1371_journal.pone.0074258,Statistical Product and Service Solutions (SPSS) was used for analysis.
10.1371_journal.pone.0195303,"Regression backward model selection was conducted, using IBM SPSS Statistics v20.0 package [94] to fit each model."
10.1371_journal.pone.0192571,All statistical analyses were performed using STATA 14.0.
10.1371_journal.pone.0066335,"All data were analyzed using IBM SPSS Statistics 20 (SPSS Inc, Chicago, IL, 2011)."
10.1371_journal.pone.0184417,"Regression in SPSS version 24 is ruled out as it is limited to step-wise methods only, cannot conduct an all-possible subset analysis (used here for exploratory reasons), does not automatically identify and handle outliers, and cannot accommodate a model with a high variable to observation ratio [82]."
10.1371_journal.pone.0113564,"Due to unequal sample sizes for deviant/non-deviant burials, as well as non-normal data distributions, non-parametric statistical tests (including Mann-Whitney U and Kruskal Wallis) were conducted using SAS 9.3."
10.1371_journal.pone.0182465,"All statistical analyses were performed using STATA version 12 (STATA Corp, College Station, TX)."
10.1371_journal.pone.0031878,"Analyses were carried out using SPSS v18 (SPSS inc, Chicago, USA) and SAS v9.2 (SAS, Cary, North Carolina, USA)."
10.1371_journal.pone.0192119,"The quantitative data were analyzed using descriptive statistical analysis, correlations, and binominal logistics regressions on IBM SPSS Statistics 18 (Forward:LR method), and applying Latent Class Modeling (LCM) on LatentGold 3."
10.1371_journal.pone.0093519,Analyses were performed using Stata 12.
10.1371_journal.pone.0188187,All statistical analyses were performed using STATA® version 10.0 and R Studio version 3.2.2 for Macintosh®.
10.1371_journal.pone.0054856,The statistical packages SPSS 15.1 and STATA 11.1 were used to carry out the analyses.
